id,latitude,longitude,land_cover,climate,soil,dist_sea,city
308902977477091,34.955071935808,-2.1014862326712,8,7,9,0.0755534183078736,Berkane
1398654090511209,33.850047403166,-5.5598392513332,1,8,3,0.5634878201001906,Meknès
817958915508890,35.086981477724,-2.2472347391814,2,6,3,0.0108652727315409,Berkane
937141306859992,34.715134590488,-1.9051398404869,1,7,9,0.2082654556863723,Oujda-Angad
654031065463819,33.545643415544,-7.5783743997196,1,8,11,0.0452635333818494,Casablanca
545185010220265,33.577254482775,-7.6022314824808,1,8,11,0.024837952131676,Casablanca
831383440803758,33.58786104189,-7.5241134886527,1,8,11,0.0339596773316456,Tit Mellil
278374637302535,33.560763582459,-7.5311013858649,1,8,11,0.0461515969497545,Tit Mellil
145917870885103,32.452586650347,-7.9313194324315,8,7,9,0.4949292478531767,Ben Guerir
257204239476617,34.016244119358,-4.9752148736179,1,8,3,0.6757926449971491,Fès
193247872642878,35.584251136814,-5.3582453488123,1,8,9,0.0503893660131369,Tétouan
409895274074084,34.688500269969,-1.9036193673075,1,7,9,0.222949625466953,Oujda-Angad
477778976675165,34.692396675388,-1.8853248753568,1,7,9,0.2216915220540955,Oujda-Angad
1652127808309388,33.261346258605,-7.5716196229179,1,8,3,0.1912480667725835,Barrechid
504309927285537,33.388486025876,-7.5603899116329,1,8,11,0.1285461681980719,Ad Darwa
305836064341411,31.764126096806,-8.1120385877449,9,6,9,0.6108163040640745,Marrakech
153686470050480,34.036034442071,-6.799071665304,1,8,11,0.0158486387318514,Sale
1156193508136978,30.371402668921,-9.5419043954482,1,6,9,0.0406891862555426,Inezgane
310230470508168,30.431871504711,-9.5637120183657,1,6,9,0.0391484692429572,Agadir
137449318408578,35.550187932271,-5.3716724934292,2,8,9,0.0649310994738623,Tétouan
497884368229639,33.478763558136,-7.6220802444601,5,8,11,0.0713599500460695,Bouskoura
307365700997943,30.315137184159,-9.5029921459502,9,6,9,0.0605311292792628,Ait Melloul
478049353647044,35.766301635428,-5.8140784356637,1,8,9,0.0206979600031202,Tangier
516466702863519,34.677870222191,-1.9016780928221,1,7,9,0.2288746758789445,Oujda-Angad
1765988106896555,35.573595469829,-5.3781277415512,1,8,9,0.0611671720842366,Tétouan
940335056803521,31.600803754531,-7.9967534614828,1,6,9,0.6938206104214026,Marrakech
188189436497214,35.768705914536,-5.7485457724945,2,8,9,0.0254162139376185,Tangier
175267634500535,34.042525077125,-6.7748399454401,1,8,11,0.0227201913279986,Sale
471396220623749,33.933745547488,-6.8119109955258,1,8,11,0.0447998880069352,Temara
136488465177810,33.160439457631,-7.5705124251024,2,8,3,0.2428456215029512,Barrechid
1134063317080258,34.677715640186,-1.8995287774156,1,7,9,0.2290628645940921,Oujda-Angad
503946334135990,31.645109691299,-8.0167700184118,1,6,9,0.6757028254159964,Marrakech
476082680268778,33.897659388208,-6.3322099938733,2,8,9,0.2355044121772432,Al Khmissat
994131017658368,33.586691983183,-7.5884707147443,1,8,11,0.0225348404223299,Casablanca
323511742699288,34.677175114912,-1.9343080873599,1,5,9,0.2276843738845698,Oujda-Angad
470608644158265,34.67096849911,-1.8990045952401,1,7,9,0.2327896514007048,Oujda-Angad
298720588407698,34.002577773278,-6.8272097451077,1,8,11,0.0164106937878636,Rabat
785049429072964,33.394929432472,-7.6205424059976,1,8,3,0.1143165686440012,Bouskoura
774627903078689,31.574455408997,-8.0574829062942,2,6,9,0.6735023465004996,Marrakech
485040049606393,33.995682895295,-5.00889524959,2,8,3,0.6906181746229837,Oulad Tayeb
3892542904192830,33.987084572885,-6.8775119367763,1,8,11,0.0027934894391986,Rabat
224694852352988,34.308164448082,-3.7187542965376,8,7,9,0.510889790237652,Taza
268702478324791,31.678040470513,-8.0378798278588,1,6,9,0.6598269009865358,Marrakech
160823592568774,34.665787644171,-1.9001943831047,1,7,9,0.2355747452803705,Oujda-Angad
3018277541729354,34.911861401694,-3.7968045872201,3,7,9,0.1835184454163598,Imzouren
1171167606663198,34.78227312396,-3.7711677077748,2,7,9,0.2551345726932588,Imzouren
467742961179721,31.620149403875,-8.0061222782012,1,6,9,0.6855675818664582,Marrakech
1180315602389542,34.966783731081,-3.8138278205576,4,7,9,0.1531724026580924,Imzouren
460671495037642,31.659972713938,-7.9879002011297,1,6,9,0.6855344997599881,Marrakech
507654647255862,33.158655663552,-7.5707079169039,2,8,3,0.2437186042339363,Barrechid
4687934301220646,32.735334855493,-9.0321460628807,2,8,11,0.007466618287911,Sidi Smai’il
